	slovak	polish
56	Nikdy som nemal rád biológiu.	Nigdy nie lubiłem biologii.
57	Bohužiaľ je to pravda.	To jest niestety prawda.
58	Prečo sa pýtaš?	Dlaczego pytasz?
59	Aj ty ideš?	Też idziesz?
60	Som turista.	Jestem turystą.
61	Narodil som sa v Amerike.	Urodziłem się w Ameryce.
62	Ďakujem.	Dziękuję.
63	Chcem nejaký dobrý slovník.	Chcę jakiś dobry słownik.
64	Ahojte, všetci!	Cześć wszystkim!
65	Vypadni!	Spadaj!
66	Lev je silný.	Lew jest silny.
67	Prečo plačete?	Dlaczego płaczecie?
68	Kde si?	Gdzie jesteś?
69	Som v záhrade.	Jestem w ogrodzie.
70	Nainštalujte Linux!	Zainstaluj Linuxa!
71	Včera bol štvrtok.	Wczoraj był czwartek.
72	Je to tvoje?	To twoje?
73	Sylvia milovala koncerty.	Sylvia kochała koncerty.
74	Chcem dobrý slovník.	Chcę dobry słownik.
75	Moja sestra má pekné piano.	Moja siostra ma ładne pianino.
76	Tom nepije kávu.	Tom nie pije kawy.
77	Niekto klopal na dvere.	Ktoś pukał do drzwi.
78	Sézam, otvor sa!	Sezamie, otwórz się!
79	Urobil skúšku.	Zdał egzamin.
80	V každom prípade, ak chceš vedieť viac o mojej krajine, pošlem ti list, keď budem u seba doma.	W każdym razie, jeśli chcesz dowiedzieć się więcej o moim kraju napiszę do Ciebie, jak będę w domu.
81	Musí zaplatiť za knihu.	Musi zapłacić za książkę.
82	Počúvaj! Ako sa to píše?	Posłuchaj! Jak się to pisze?
83	Nie si už mladý.	Nie jesteś już młody.
84	Minulú noc sme pozorovali hviezdy zo strechy.	Zeszłej nocy obserwowaliśmy gwiazdy z dachu.
85	Dievča šlo do školy aj keď bolo choré.	Dziewczyna chodziła do szkoły, nawet kiedy była chora.
86	Nevadí mi počkať chvíľu.	Mogę chwilę poczekać.
87	Poprosil som ho aby ma odviezol domov.	Poprosiłem go, żeby odwiózł mnie do domu.
88	Otvor knihu a ona otvorí tvoju dušu.	Otwórz książkę, a ona otworzy twoją duszę.
89	Nemám sestru.	Nie mam siostry.
90	Milujem ťa.	Kocham Cię.
91	Ano, ty ma ľubiš .	Tak, kochasz mnie.
92	Miluješ ma ?	Kochasz mnie?
93	Tento stôl je čistý.	Ten stół jest czysty.
94	Vietor bol silný .	Wiatr był silny.
95	Zvyčajne vstávam o ôsmej.	Zwykle wstaję o ósmej.
96	Kristus vstal z mŕtvych!	Chrystus zmartwychwstał!
97	Zarábam 100 Euro denne.	Zarabiam 100 euro dziennie.
98	Zarábam 100 Euro denne.	Zarabiam 100€ dziennie.
99	Zarábam 100 Euro denne.	Zarabiam €100 dziennie.
100	Svet je ako kniha, a tí čo necestujú čítajú len jednu stranu.	Świat jest jak książka, a ci, którzy nie podróżują czytają tylko jedną stronę.
101	Nemám psa.	Nie mam psa.
102	Pamätáte si túto hru?	Pamiętacie tę grę?
103	Prečo potrebujete toto špáradlo?	Po co ci ta wykałaczka?
104	Kniha je malá.	Książka jest mała.
105	Ja som šťastný.	Jestem szczęśliwy.
106	Sneží v Paríži.	Pada śnieg w Paryżu
107	Jedia jablká.	Jedzą jabłka.
108	Dobrú noc!	Dobranoc.
109	Dobrú noc!	Dobranoc!
110	Dobrú noc!	Dobrej nocy.
111	Sú niektoré knihy na stole.	Są niektóre książki na stole.
112	Pracujem v továrni.	Pracuję w fabryce.
113	Ja som z Egypta.	Jestem z Egiptu.
114	Tom nie je môj syn.	Tom nie jest moim synem.
115	Milujete svojich spolužiakov z triedy?	Lubisz swoich kolegów z klasy?
116	Milujem učiť sa nových vecí.	Uwielbiam uczyć się nowych rzeczy.
117	V nedeľu idem do kostola.	W niedziele chodzę do kościoła.
118	Tento labuť je čierny.	Ten łabędź jest czarny.
119	Bývam v Ríme.	Mieszkam w Rzymu.
120	Kde je toaleta?	Gdzie jest toaleta?
121	Prepáčte!	Przepraszam!
122	Kto ste?	Kim jesteś?
123	Volám sa Július.	Nazywam się Juliusz.
124	Ja som Július.	Jestem Juliusz.
125	Kde on býva?	Gdzie on mieszka?
126	Laurie je ešte v škole.	Laurie jest jeszcze w szkołe.
127	Ona neje červené jablko.	Ona nie je czerwone jabłko.
128	On bol vo Fráncuzsku.	On był we Francji.
129	Môžem ísť s vami?	Mogę iść z tobą?
130	Máš desať rokov?	Masz dziesięć lat?
131	Pojeb sa!	Pierdol się!
132	Prečo nikto neodpovedá?	Dlaczego nikt nie odpowiada?
133	Nepotrvá to dlho.	To nie potrwa długo.
134	Začnime.	Zacznijmy.
135	Moji bratia sú pod stromom.	Moi bracia są pod drzewem.
136	On niečo povedal.	On coś powiedział.
137	Tom pomáha.	Tom pomaga.
138	On vie tiež hovoriť po francúzsky.	On potrafi także mówić po francusku.
139	Cvičil som.	Ćwiczyłem.
140	Bol to hlúpy nápad.	To był głupi pomysł.
141	Ja môžem pomôcť ak chceš.	Mogę pomóc, jeśli chcesz.
142	Ty a Tom musíte byť šťastní.	Ty i Tom musicie być szczęśliwi.
143	Zapnite si pásy.	Zapnijcie pasy.
144	Zapni si pásy.	Zapnij pasy.
145	Ona mu povedala, že chce rozvod.	Powiedziała mu, że chce rozwodu.
146	My sme šialení.	Jesteśmy szaleni.
147	Ja som jej kúpil nové auto.	Kupiłem jej nowe auto.
148	Ja som jej kúpil nové auto.	Kupiłem jej nowy samochód.
149	Máš čas v utorok?	Masz czas we wtorek?
150	Ja viem, že som spravil strašnú vec.	Wiem, że zrobiłem straszną rzecz.
151	Cena sa bude meniť podľa dopytu.	Cena będzie się zmieniać zgodnie z popytem.
152	Pomôžem ti utiecť.	Pomogę Ci uciec.
153	Ja neviem, kde je Tom.	Nie wiem, gdzie jest Tom.
154	Ja som Tom.	Jestem Tom.
155	To znie zábavne.	To brzmi zabawnie.
156	Otvoril oči a pozrel na mňa.	Otworzył oczy i popatrzył na mnie.
157	Chcem žiť.	Chcę żyć.
158	Otec hovorí po anglicky lepšie ako mama.	Ojciec mówi po angielsku lepiej od mamy.
159	Hľadáme ju.	Szukamy jej.
160	Som na tretej strane.	Jestem na trzeciej stronie.
161	Zvyčajne vstával skoro.	Zazwyczaj wcześnie wstawał.
162	Bol som v Pchjongjangu predtým, než Severná Kórea vznikla.	Byłem w Pjongjangu, zanim powstała Korea Północna.
163	Vráťme sa k téme!	Wróćmy do tematu!
164	Neviem, čo budem robiť dalej.	Nie wiem, co będę dalej robić.
165	Kam to mám položiť?	Gdzie mam to odłożyć?
166	Počkaj, kým sa nevrátim.	Poczekaj, aż wrócę.
167	Chcel by som si na pár minút ľahnúť.	Chcę się położyć na kilka minut.
168	Budeme pokračovať.	Będziemy kontynuować.
169	Samozrejme, že rozumiem.	Oczywiście, że rozumiem.
170	Áno.	Tak.
171	Jeme jablká.	Jemy jabłka.
172	Si doma?	Jesteś w domu?
173	To nie je drahé.	To nie jest drogie.
174	Musíš ísť.	Musisz iść.
175	Čo to znamená?	Co to znaczy?
176	Idem na pláž.	Idę na plażę.
177	Bol si zaneprázdnený.	Byłeś zajęty.
178	Kto sa teraz smeje?	Kto teraz śmieje się?
179	Dobrú chuť!	Smacznego!
180	Prečo nie?	Czemu nie?
181	Prečo?	Dlaczego?
182	Prečo?	Po co?
183	Prečo?	Czemu?
184	Na zdravie!	Na zdrowie!
185	No.	No.
186	Bratia!	Bracia!
187	Čo chceš?	Czego chcesz?
188	Kde je tvoj otec?	Gdzie jest twój ojciec?
189	Asteroid explodoval nad Čeľjabinskom v Rusku.	Asteroida eksplodowała nad Czelabińskiem w Rosji.
190	Čo varíš?	Co gotujesz?
191	Nie si spokojný?	Nie jesteś zadowolony?
192	Idem do mesta.	Idę do miasta.
193	Máš pravdu.	Masz rację.
194	Mám prestávku.	Mam przerwę.
195	Tom je môj sused.	Tom to mój sąsiad.
196	Tom je môj sused.	Tom jest moim sąsiadem.
197	Pozor!	Uwaga!
198	Pozor!	Uważaj!
199	Musím ísť spať.	Muszę iść spać.
200	„Má rada hudbu.“ „Aj ja.“	„Ona lubi muzykę.” „I ja też.”
201	Dnes je veľmi horúco.	Dzisiaj jest bardzo gorąco.
202	Dnes je veľmi horúco.	Dziś jest bardzo gorąco.
203	Mám vaše lístky.	Mam wasze bilety.
204	Dobrý večer!	Dobry wieczór.
205	Som muž.	Jestem mężczyzną.
206	Jem mäso.	Jem mięso.
207	Áh, nie!	O nie!
208	Pes sedí na koberci.	Na dywanie siedzi pies.
209	Pod stromom je lavička.	Pod drzewem jest ławka.
210	Jej otec je Japonec.	Jej ojciec jest Japończykiem.
211	Je od nej o tri roky starší.	On jest trzy lata starszy od niej.
212	Je od nej o tri roky starší.	Jest trzy lata starszy od niej.
213	Často hráva na gitare.	On często gra na gitarze.
214	Chlapci mlčali.	Chłopcy byli cicho.
215	Myslím, že by si bol prekvapený.	Myślę, że byłbyś zaskoczony.
216	S tvojím strýkom sa poznáme veľa rokov.	Znamy się z twoim wujem od wielu lat.
217	Všetko ma bolí.	Wszystko mnie boli.
218	Jem jablko.	Jem jabłko.
219	Ona je jablko.	Ona je jabłko.
220	Zajtra je Deň matiek.	Jutro jest Dzień Matki.
221	Každý to môže urobiť.	Każdy może to zrobić.
222	Každý to môže urobiť.	Każdy to może zrobić.
223	Teraz mám tridsať rokov.	Mam teraz trzydzieści lat.
224	Oženil sa s peknou dievčinou.	Ożenił się z ładną dziewczyną.
225	Nepochopil som jeho vtip.	Nie mogłem zrozumieć jego żartu.
226	Vidím.	Widzę.
227	Steny majú uši.	Ściany mają uszy.
228	Koľkého je dnes?	Jaka jest dzisiejsza data?
229	Cíťte sa tu ako doma!	Czuj się jak u siebie w domu.
230	Cíťte sa tu ako doma!	Czuj się jak u siebie w domu!
231	Som veľmi rád, že si tu!	Tak się cieszę, że tu jesteś.
232	Myslím, že tu budeme v bezpečí.	Myślę, że tutaj będziemy bezpieczni.
233	Neobviňujem ťa.	Nie winię ciebie.
234	Carol sa učí španielsky.	Carol uczy się hiszpańskiego.
235	Rád sa učím jazyky.	Lubię uczyć się języków.
236	Mám na teba prosbu.	Mam do ciebie prośbę.
237	Si môj život a všetko, čo chcem a potrebujem.	Jesteś moim życiem i wszystkim, czego pragnę, i potrzebuję.
238	Peter vyzerá veľmi mlado.	Peter wygląda bardzo młodo.
239	Je dobrý lekár.	On jest dobrym lekarzem.
240	Tá gitara je tak drahá, že si ju nemôžem kúpiť.	Tamta gitara tak droga, że nie mogę jej kupić.
241	Boja sa lietať.	Boją się latać.
242	Tom sa učí lietať.	Tom uczy się latać.
243	Pondelok ráno Toma zatkli.	Tom został aresztowany w poniedziałek rano.
244	Hráme v nedeľu.	Gramy w niedzielę.
245	Vyzeráš veľmi unavene.	Wyglądasz na bardzo zmęczonego.
246	Všetci boli šťastní.	Wszyscy byli szczęśliwi.
247	Minulosť môže byť iba poznaná, nie zmenená. Budúcnosť môže byť iba zmenená, nie poznaná.	Przeszłość może być tylko poznana, nie zmieniona. Przyszłość może być tylko zmieniona, nie poznana.
248	Minulosť môže byť iba poznaná, nie zmenená. Budúcnosť môže byť iba zmenená, nie poznaná.	Przeszłość można znać, ale nie zmienić. Przyszłość można zmienić, ale nie znać.
249	Narazil na nečakané prekážky.	Napotkał nieoczekiwane przeszkody.
250	Nemôžeme dôverovať Tomovi.	Nie możemy ufać Tomowi.
251	A prečo nie?	A czemu nie?
252	Jem chlieb.	Jem chleb.
253	Pôjdem.	Ja pójdę.
254	Pôjdem.	Pójdę.
255	Odpočívam.	Odpoczywam.
256	Oddychujem.	Odpoczywam.
257	Tom, pozri, čo som našiel pod pohovkou.	Tom, popatrz, co znalazłem pod kanapą.
258	Neviem, prečo sa smejem.	Nie wiem, dlaczego się śmieję.
259	Musím vedieť prečo.	Muszę wiedzieć dlaczego.
260	Buď opatrný!	Bądź ostrożny.
261	Buď opatrný!	Bądź ostrożny!
262	Zmeškal posledný vlak.	Spóźnił się na ostatni pociąg.
263	Má modré oči.	Ona ma niebieskie oczy.
264	Zhasni.	Zgaś światło.
265	Nezabiješ!	Nie zabijaj.
266	Nebol Tom v jeho izbe?	Nie było Toma w jego pokoju?
267	Zostaneme tu do nedele.	Zostaniemy tu do niedzieli.
268	Je jej príbeh pravdivý?	Czy jej historia jest prawdziwa?
269	Spievaj!	Śpiewaj!
270	Začni spievať.	Zacznij śpiewać.
271	Kto bežal?	Kto biegł?
272	Deti majú zvyčajne vyššiu telesnú teplotu ako dospelí.	Dzieci generalnie mają wyższą temperaturę ciała niż dorośli.
273	Nie je lekárom, ale učiteľom.	Nie jest lekarzem, lecz nauczycielem.
274	Môj priateľ sa cíti veľmi zle.	Mój przyjaciel czuje się bardzo źle.
275	Nepáči sa mi tá myšlienka.	Nie podoba mi się ten pomysł.
276	Nie som odborníkom.	Nie jestem ekspertem.
277	Poslušnosť nestačí.	Posłuszeństwo nie wystarczy.
278	Môžeš zostať.	Możesz zostać.
279	Našim očiam chvíľu trvá, kým sa prispôsobia tme.	Nasze oczy potrzebują czasu by przyzwyczaić się do ciemności.
280	Pozriem kedy prichádza vlak.	Sprawdzę, o której przyjeżdża pociąg.
281	Nevstupuj!	Nie wchodź!
282	Z akého dôvodu?	Z jakiego powodu?
283	Tento vták je trasochvost.	Ten ptak to pliszka.
284	Uhm.	Tak.
285	Je to dobrá rada.	To dobra rada.
286	Milujem slnko.	Kocham słońce.
287	Milujem slnko.	Lubię słońce.
288	Šváby sú hmyz.	Karaluchy są insektami.
289	Zamiloval som sa do nej na prvý pohľad.	Zakochałem się w niej od pierwszego wejrzenia.
290	Zaľúbil som sa do nej na prvý pohľad.	Zakochałem się w niej od pierwszego wejrzenia.
291	Skryla sa za dvere a zatajila dych.	Wstrzymała oddech i ukryła się za drzwiami.
292	Mám dvadsaťštyri rokov.	Mam 24 lata.
293	Niektorí išli pešky, iní bicyklom.	Niektórzy poszli piechotą, inni pojechali na rowerach.
294	Zaslúži si lepší život.	Ona zasługuje na lepsze życie.
295	Zasluhuje si lepší život.	Ona zasługuje na lepsze życie.
296	To je na teraz všetko.	To by było wszystko na teraz.
297	Máš papier?	Czy masz papier?
298	Jem ryžu.	Jem ryż.
299	Tento list je určený tebe.	Ten list jest do ciebie.
300	Varia.	Oni gotują.
301	Mám priateľov.	Mam przyjaciół.
